place_id,name,type,subtype,tier,capacity,parent_id
2011,Moran Medium Security,facility,,,,
2012,module_A,module,,,,2011
2013,module_B,module,,,,2011
2014,module_C,module,,,,2011
2015,module_D,module,,,,2011
2016,module_E,module,,,,2011
2017,module_F,module,,,,2011
2018,module_G,module,,,,2011
2019,module_H,module,,,,2011
2020,module_I,module,,,,2011
2021,module_J,module,,,,2011
2000,dining_room_1,shared,dining_room,,,2011
2001,dining_room_2,shared,dining_room,,,2011
2002,gym,shared,gym,,,2011
2003,yard,shared,yard,,,2011
2004,education_building,shared,education,,,2011
2005,industries_building,shared,industry,,,2011
2006,visiting_room,shared,visit_room,,,2011
2007,medical,shared,medical,,,2011
2008,chapel,shared,chapel,,,2011
2009,barber,shared,barber,,,2011
2010,segregation_unit,shared,segregation,,,2011
0,cell_A_bottom_1,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
1,cell_A_bottom_2,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
2,cell_A_bottom_3,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
3,cell_A_bottom_4,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
4,cell_A_bottom_5,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
5,cell_A_bottom_6,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
6,cell_A_bottom_7,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
7,cell_A_bottom_8,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
8,cell_A_bottom_9,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
9,cell_A_bottom_10,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
10,cell_A_bottom_11,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
11,cell_A_bottom_12,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
12,cell_A_bottom_13,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
13,cell_A_bottom_14,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
14,cell_A_bottom_15,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
15,cell_A_bottom_16,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
